,target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank
10,CC(C)n1cnnc1-c1nc2c(s1)CCOc1cc(C=O)ccc1-2.NCCO,CC(C)n1cnnc1-c1ncc(CCOc2cccc(CBr)c2)s1.NCCO,CC(C)n1cnnc1-c1ncc(CCOc2cccc(CCl)c2)s1.NCCO,CC(C)n1cnnc1C1=NC=C2CCOc3cc(CBr)ccc3[SH]21.NCCO,CC(C)n1cnnc1-c1ncc(CCOc2cccc(CI)c2)s1.NCCO,CCOC(=O)N(CCO)CC1C=C2OCCc3sc(-c4nncn4C(C)C)nc3C2=CC=CC1,0
11,CC(=O)CC1CCCC1=O.CCOC(=O)CN,CCOC(=O)CBr.Cc1cc2c([nH]1)CCC2,CC(=O)CCc1c[nH]c(C)c1.CCOC(=O)CBr,CCCc1[nH]c(C)cc1CCC(C)=O.CCOC(=O)CBr,CCOC(=O)CBr.NC1CCC2=C1CCN2,CCCC(C)=O.CCOC(=O)CN,0
12,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc(C(C)(O)C3CCN(C(=O)OC(C)(C)C)C3)s2)c1,Cc1cc(C=CN=C2C(=S)C(CCNC(=O)OC(C)(C)C)C2(C)O)nc(Nc2cc(C(F)(F)F)ccn2)c1,CC(C)(C)OC(=O)N1CCC(C(C)(O)C(S)=NC=Cc2cccc(Nc3cc(C(F)(F)F)ccn3)n2)C1,CC1(C)CCN(CCCC(C)(O)C(=NC=Cc2cccc(Nc3cc(C(F)(F)F)ccn3)n2)NS)C(=O)O1,CN(CCCC(C)(O)C(S)=NC=Cc1cccc(Nc2cc(C(F)(F)F)ccn2)n1)C(=O)OC(C)(C)C,Cc1cc(C=CN=C2C(S)C(CCNC(=O)OC(C)(C)C)C2(C)O)nc(Nc2cc(C(F)(F)F)ccn2)c1,0
13,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(CO)ccc2F)CC1.CS(=O)(=O)Cl,CC(C)(C)OC(=O)NCCN(F)C(=O)c1cccc(CO)c1.CS(=O)(=O)Cl,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(CO)ccc2F)CC1.CS(=O)(=O)Cl,CC(C)(C)OC(=O)NCCN(F)C(=O)c1cccc(CO)c1.CS(=O)(=O)Cl,CC(C)(C)OC(=O)N1CCNCC1.CS(=O)(=O)OCc1ccc(F)c(C(=O)O)c1,CN(CCNC(=O)OC(C)(C)C)C(=O)c1cc(CO)ccc1F.CS(=O)(=O)Cl,2
14,CCCC(=O)c1cnc2c(C)cccc2c1Cl.COc1ccccc1N,CCCC(=O)c1cnc2c(C)cccc2c1Cl.COc1ccccc1N,CCC[Mg+].COc1ccccc1-n1cc(C(=O)O)c2ncc(C)cc21,CCCC(O)c1cnc2c(C)cccc2c1Nc1ccccc1OC,CCC[Mg+].COc1ccccc1NC=C(C=Nc1ccccc1C)C(=O)O,CCC[Mg+].COc1ccc2cc1N1C=C(C(=O)O)C=NC1=C2,1
15,COc1ccc(CN2CCc3nc(Cl)cc4c3c2nn4C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.C[C@@H](NC(N)=O)c1ccccc1,C=CC=CCN1N=C2c3ccc(N)nc3CCN2C1C1=CC(=COC)C=Cc2ccccc2C(c2ccccc2)=C1.C[C@@H](N)c1ccccc1,CC=CCN1N=C2c3ccc(N)nc3CCN2C1C1=CC(=COC)C=Cc2ccccc2C(c2ccccc2)=CC1.C[C@@H](N)c1ccccc1,CC=CCn1nc2c3c(nc(N)cc31)CCN2CC1=CC(=COC)C=Cc2ccccc2C(c2ccccc2)=CC1.C[C@@H](N)c1ccccc1,C=CC=CCN1N=C2c3ccc(N)nc3CCN2C1C1=CC(=COC)C=Cc2ccccc2C(c2ccccc2)=C1.C[C@@H](N=C=O)c1ccccc1,CC=CCN1N=C2c3ccc(N)nc3CCN2C1C1=CC(=COC)C=Cc2ccccc2C(c2ccccc2)=CC1.C[C@@H](N=C=O)c1ccccc1,0
16,Br.C=CCCC(=O)C(C)(C)N1COC(C)=C(c2ccccc2)C1=O,CC(Br)CCC(=O)CCC(C)Br.CC=C(C(=O)NCO)c1ccccc1,CC(Br)CCC(=O)CCC(C)Br.CC1=C(c2ccccc2)C(=O)NCO1,CC(Br)CCC(=O)CCC(C)Br.CC=C(C(=O)NCO)c1ccccc1,CC(C)CCC(=O)CCC(C)Br.CC=C(C(=O)NCO)c1ccccc1,CC(Br)CCC(=O)Br.CC1=C(c2ccccc2)C(=O)NCO1,0
17,CSc1cc(-n2nc(C)cc2N)ncn1.Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Br,CSc1cc(-n2nc(C)cc2N)ncn1.Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1I,CSc1cc(-n2nc(C)cc2N)ncn1.Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Br,CN=Cc1ccc(N)cc1Nc1cc(C)nn1C1=NC(SC)=C1.O=C(Cl)c1cccc(C(F)(F)F)c1,CN=Cc1ccc(N)cc1Nc1cc(C)nn1C1=NC(SC)=C1.O=C(O)c1cccc(C(F)(F)F)c1,Cc1cc(Nc2cc(N)ccc2C=NC=N)n(C2C=CSC2)n1.O=C(Cl)c1cccc(C(F)(F)F)c1,2
18,Nc1nccc(Cl)c1I.Oc1cc(F)ccc1F,CC(C)(C)OC(=O)Nc1nccc(Oc2cc(F)ccc2F)c1I,Nc1nccc(Cl)c1I.Oc1cc(F)ccc1F,Nc1nccc(I)c1I.Oc1cc(F)ccc1F,Nc1nccc(F)c1I.Oc1cc(F)ccc1F,CC(=O)Nc1nccc(Oc2cc(F)ccc2F)c1I,2
19,N#CCC(=O)c1ccccc1,C[Si](C)(C)O[C@@H](CC#N)c1ccccc1,C[Si](C)(C)O[C@H](CC#N)c1ccccc1,N#CCC(=O)c1ccccc1,O=C(CBr)c1ccccc1.[C-]#N,OC(CBr)c1ccccc1.[C-]#N,3
20,CC(C)OC(=O)c1cccnc1N1CCNCC1.CCN(Cc1ccc(C=O)cn1)Cc1c(F)cccc1Cl,C=NC(=CC=CCN1CCC(Nc2ncccc2C(=O)OC(C)C)C1)CCl.CCNCc1c(F)cccc1Cl,CC(C)OC(=O)c1cccnc1N1CCN(Cc2ccc(CCl)nc2)CC1.CCNCc1c(F)cccc1Cl,CCNCc1ccc(CN2CCN(c3ncccc3C(=O)OC(C)C)CC2)cn1.Fc1cccc(Cl)c1CBr,C=NC(=CC=CCN1CCC(Nc2ncccc2C(=O)OC(C)C)C1)CBr.CCNCc1c(F)cccc1Cl,CC(C)OC(=O)c1cccnc1N1CCN(Cc2ccc(CBr)nc2)CC1.CCNCc1c(F)cccc1Cl,0
21,COCCOCOc1c(C/C=C(\C)CCC(=O)OC)c(OC)c(C)c2c1C(=O)OC2,COCCOCOc1c(CC=C(C)CCC(=O)OC)c(OC)c(C)c2c1C(=O)OC2,CCOC(=O)CCC(C)=CCC(=COCOCCOC)C(OC)=C(C)C1=CC(=O)OC1,COCCOCOC=C(C=C(C)C1=CC(=O)OC1)CC=C(C)CCC(=O)OCO,CCOC(=O)CCC(C)=CCc1c(OC)c(C)c2c(c1OCOCCOC)C(=O)OC2,CCCOC(=O)CCC(C)=CCc1cc(C)c2c(c1OCOCCOC)C(=O)OC2,0
22,COC(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,C=C(Cl)N=C(C)NCC(Cl)(N=CCN)SC(=CC(=O)OC)CCC(=O)N(C)C=O,COC(=O)C=C(CC=C(C)N(CC(C)C)C(=O)N(C)C=O)CNC(C)=NC(Cl)=C(N)Cl,C=C(Cl)N=C1CN(CC)C(Cl)(SC(C=O)=CC(=O)OC)CN1,COC(=O)C=C(CC=C(C)N(CC(C)C)C(=O)N(C)C=O)NC(C)=NC(Cl)=C(N)Cl,C=NC(Cl)=C(Cl)NC1COC(=O)C=C1CN(CC(C)C)C(=O)N(C)C=O,0
23,COc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,COc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,COCOc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,CC1(C)OB(c2cnc(-c3ccccc3)o2)OC1(C)C.Oc1ccc2cc(Br)ccc2c1,CC1(C)OB(c2ccc3cc(O)ccc3c2)OC1(C)C.Oc1ccc2cc(Br)ccc2c1,OB(O)c1ccccc1.Oc1ccc2cc(Br)ccc2c1,1
24,CC(C)(C)C(=O)Cl.Cc1ccccc1-c1ccc2nc(N)ccc2c1,CC(C)(C)C(=O)Cl.Cc1ccccc1-c1ccc2nc(N)ccc2c1,CC(C)(C)C(=O)Nc1ccc2cc(Br)ccc2n1.Cc1ccccc1B(O)O,CC(C)(C)C(=O)OC(=O)C(C)(C)C.Cc1ccccc1-c1ccc2nc(N)ccc2c1,CC(C)(C)C(=O)Nc1cnc2ccc(Br)cc2c1.Cc1ccccc1B(O)O,CC(C)(C)C(=O)O.Cc1ccccc1-c1ccc2nc(N)ccc2c1,1
25,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NCCc1ccc(N)cc1F,CC(C)(C)OC(=O)NCCc1ccc([N+](=O)[O-])cc1F,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NCCc1ccc(N)cc1F,CC(C)(C)OC(=O)NCCc1ccc(NC(=O)OC(C)(C)C)cc1F,CC(=O)NC=C1C=C(F)CC(CCNC(=O)OC(C)C)=C1,CC(=O)Nc1ccc(CCNC(=O)OC(C)(C)C)c(F)c1,2
26,COC(=O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O,COC(=O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O,CCOC(=O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O,CC(C)(C)OC(=O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O,NCc1ncc[nH]1.O=CN(CCc1ccccc1)Cc1cc(C(=O)O)ccc1NCCC(=O)O,NCc1ncc[nH]1.O=CCN(CCc1ccccc1)C(=O)c1ccc(C(=O)NCc2ncc[nH]2)c(F)c1,1
27,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)OC)n1,CCOC(=O)C=CC1=CC(COc2ccc(O)c(C(C)=O)c2)CC=N1,CCOC(=O)C=C1C=CC(COc2ccc(O)c(C(C)=O)c2)C=N1,CCOC(=O)C=C1C=CC(COc2cc(C(C)=O)c(O)cc2C)C=N1,CCOC(=O)C1=CC=CC(COc2ccc(O)c(C(C)=O)c2)CC=N1,CCOC(=O)C=C1C=CC(COc2ccc(O)c(C(C)=O)c2)CC=N1,0
28,CCOC(=O)CBr.Nc1ccc2c(c1)OCO2,CCOC(=O)CCl.Nc1ccc2c(c1)OCO2,CCOC(=O)CBr.Nc1ccc2c(c1)OCO2,CCOC(=O)CN.Ic1ccc2c(c1)OCO2,CCOC(=O)CN.Oc1ccc2c(c1)OCO2,Brc1ccc2c(c1)OCO2.CCOC(=O)CN,2
29,CC(C)(C)OC(=O)COC1CCN(C(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)N1CCC(O)CC1.OCCCl,CC(C)(C)OC(=O)N1CCC(O)CC1.OCCBr,CC(C)(C)OC(=O)N1CCC(OCCO)CC1,CC(C)(C)OC(=O)N1CCC(=O)CC1.OCCO,CC(C)(C)OC(=O)N1CCC(O)CC1.OCCO,0
30,CCCC[Sn](CCCC)(CCCC)c1cccc(CO)c1.O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12,O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12.OCc1cccc(B(O)O)c1,O=C(Cl)OCc1ccccc1.OCc1cccc(-c2ccc3[nH]cc(C[C@H]4CCCN4)c3c2)c1,CC1(C)OB(c2cccc(CO)c2)OC1(C)C.O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12,CC(C)(C)[Si](C)(C)OCC1=C=CC(C=CNC=CC[C@H]2CCCN2C(=O)OCc2ccccc2)=CC=CC=C1,C=CCOC(=O)N1CCC[C@@H]1CC1=CNC=CC=CB(SOC(C)C)OC(C)C1.OCc1cccc(Br)c1,0
31,Cc1cc(Cl)c(NC(=O)CBr)c(Cl)n1.OCCN1CCNCC1,CC=C1N=C(Cl)C(NC(=O)CBr)=C1Cl.OCCN1CCNCC1,CC=C1N=C(Cl)C(NC(=O)CCl)=C1Cl.OCCN1CCNCC1,Cc1cc(Cl)c(NC(=O)CBr)c(Cl)n1.OCCN1CCNCC1,Cc1cc(Cl)c(N)c(Cl)n1.O=C(O)CN1CCN(CCO)CC1,Cc1cc(Cl)c(NC(=O)CCl)c(Cl)n1.OCCN1CCNCC1,3
32,COc1cc(C(=O)O)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C.CS(=O)(=O)N1CCC(N)CC1,CNC(=O)C(F)(F)CN(c1ccnc(Cl)n1)C1CCCCC1.COc1cc(C(=O)NC2CCN(S(C)(=O)=O)CC2)ccc1N,CN1C(=O)C(F)(F)CN(C2CCCCC2)c2nc(Cl)ncc21.COc1cc(C(=O)NC2CCN(S(C)(=O)=O)CC2)ccc1N,COc1cc(C(=O)NC2CCNCC2)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C.CS(=O)(=O)Cl,C=O.COc1cc(C(=O)NC2CCNCC2)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C,C=O.COc1cc(C(=O)NC2CCN(S(C)(=O)=O)CC2)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C,0
33,Nc1ccccc1I.O=C(O)Cc1ccc(Cl)c(Cl)c1,Nc1ccccc1I.O=C(Cl)Cc1ccc(Cl)c(Cl)c1,Nc1ccccc1I.O=C(O)Cc1ccc(Cl)c(Cl)c1,Nc1ccccc1I.O=C=NCc1ccc(Cl)c(Cl)c1,COC(=O)Cc1ccc(Cl)c(Cl)c1.Nc1ccccc1I,Nc1ccccc1I.O=C(Br)Cc1ccc(Cl)c(Cl)c1,2
34,CC(=O)Oc1cnn(-c2ccc(Br)cc2)n1,CCOC(=O)C=NN(N)c1ccc(Br)cc1,COc1cnn(-c2ccc(Br)cc2)n1,Clc1ccc(Br)cc1.Oc1cn[nH]n1,Oc1cnn(-c2ccc(Br)cc2)n1,O=c1cnn(-c2ccc(Br)cc2)[nH]1,0
35,C=CCBr.OC1(c2cccc3[nH]ccc23)CCCNC1,C=CCN.CC(O)(CCC=O)c1cccc2[nH]ccc12,C=CCN.O=C1CCCC(O)(c2cccc3[nH]ccc23)C1,C=CCBr.OC1(c2cccc3[nH]ccc23)CCCNC1,C=CCN.OC1(c2cccc3[nH]ccc23)CCCNC1,C=CCBr.OC1(c2cccc3[nH]ccc23)CCCNC1,3
36,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,CC(=O)Nc1cc([N+](=O)[O-])ccc1F,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,N.O=[N+]([O-])c1ccc(F)c(Cl)c1,Nc1cc([N+](=O)[O-])ccc1F,N.O=[N+]([O-])c1ccc(F)c(F)c1,2
37,CCc1noc(CC)c1CBr.Cc1cc(O)nc(S)n1,CCc1noc(CC)c1CBr.Cc1cc(O)nc(S)n1,CCc1noc(CC)c1CCl.Cc1cc(O)nc(S)n1,CCc1noc(CC)c1CS.Cc1cc(O)nc(S)n1,CCc1noc(CC)c1CSc1nc(C)cc(OC)n1,CCc1noc(CC)c1CS.Cc1cc(O)nc(Cl)n1,1
38,CC(C)(C)OC(=O)Nc1cc(N2CCOCC2)c(C(F)(F)F)cc1N.CN(C)Cc1cnnn1-c1cccc(C(=O)CC(=O)OC(C)(C)C)c1,CC(C)(C)OC(=O)Nc1cc(C(F)(F)F)c2cc1NC(=O)CC(=O)C=CC=CC(n1nncc1C=O)C1COCCN21.CNC,CC(C)(C)OC(=O)Nc1cc(C(F)(F)F)c(N2CCOCC2)cc1NC(=O)CC(=O)C=CC=CCn1nncc1CBr.CNC,C=CN(C)Cc1cnnn1CC=CC=CC(=O)CC(=O)Nc1cc(N2CCOCC2)c(C(F)(F)F)cc1NC(=O)OC(C)(C)C.CNC,CC(C)(C)OC(=O)Nc1cc(C(F)(F)F)c(N2CCOCC2)cc1NC(=O)CC(=O)C=CC=CCn1nncc1C=O.CNC,CC(C)(C)OC(=O)Nc1cc(C(F)(F)F)c(N2CCOCC2)cc1NC(=O)CC(=O)C=CC=CCn1nncc1CBr.CN(C)Cc1cnn[nH]1,0
39,C1COCCN1.O=c1c(F)c(Cl)nc2n1CC[C@@H](C(F)(F)F)N2,C1COCCN1.O=c1c(F)c(F)nc2n1CC[C@@H](C(F)(F)F)N2,C1COCCN1.O=c1c(F)c(Cl)nc2n1CC[C@@H](C(F)(F)F)N2,O=C1NCC[C@H]1C(F)(F)F.O=c1[nH]cnc(N2CCOCC2)c1F,C1COCCN1.O=c1c(F)c(F)nc2n1CC[C@@H](C(F)(F)F)N2,O=c1c(F)c(F)nc2n1CC[C@@H](C(F)(F)F)N2.OC1COCCN1,2
40,CNC(=O)c1ccc2c(c1)CC(=O)N2C1CCNCC1.O=C(CCl)N1C[C@H]2CCC[C@H]2C1,CNC(=O)c1ccc2c(c1)CC(=O)N2C1CCNCC1.O=C(CCl)N1C[C@H]2CCC[C@H]2C1,CN.O=C(O)c1ccc2c(c1)CC(=O)N2C1CCN(CC(=O)N2C[C@H]3CCC[C@H]3C2)CC1,CNC(=O)c1ccc2c(c1)CC(=O)N2C1CCNCC1.O=C(CBr)N1C[C@H]2CCC[C@H]2C1,CN.COC(=O)c1ccc2c(c1)CC(=O)N2C1CCN(CC(=O)N2C[C@H]3CCC[C@H]3C2)CC1,CCNC(=O)c1ccc2c(c1)CC(=O)N2C1CCNCC1.O=C(CCl)N1C[C@H]2CCC[C@H]2C1,1
41,CCOC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(N)c1)N2.O=C(Cl)N1CCOCC1,CCOC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(N)c1)N2.O=C(Cl)N1CCOCC1,CCOC(=O)c1cccc(CC(C)(C)C(N)c2cccc(N)c2)c1.O=C(Cl)N1CCOCC1,CC(C)Cc1cccc(NC(=O)N2CCOCC2)c1.CCOC(=O)c1cccc(CC(C)(C)C(N)Br)c1,CC1CCc2cc(C(=O)O)ccc2NC1c1cccc(NC(=O)N2CCOCC2)c1.CCO,CC(C)Cc1cccc(NC(=O)N2CCOCC2)c1.CCOC(=O)c1cccc(CC(C)(C)C(N)O)c1,1
42,C=O.O=S(=O)(Nc1nncs1)c1cc(Cl)c(Oc2ccc(-c3ccccc3C(F)(F)F)cc2-c2ccnn2C2CNC2)cc1F,C#CC1NCC1n1nccc1-c1cc(-c2ccccc2C(F)(F)F)ccc1OC(F)=C(Cl)C=CS(=O)(=O)Nc1nncs1.C=O,C=CC1NCC1n1nccc1-c1cc(-c2ccccc2C(F)(F)F)ccc1OC(PF)=C(Cl)C=CS(=O)(=O)Nc1nncs1.C=O,C#CC1NCC1n1nccc1-c1cc(-c2ccccc2C(F)(F)F)ccc1OC(F)=C(Cl)C=CS(=O)(=O)Nc1nncs1.C=O,C=O.CC1NCC1n1nccc1-c1cc(-c2ccccc2C(F)(F)F)ccc1OC(Cl)=C(Cl)C=CS(=O)(=O)Nc1nncs1,C=CC1NCC1n1nccc1-c1cc(-c2ccccc2C(F)(F)F)ccc1OC(SF)=C(Cl)C=CS(=O)(=O)Nc1nncs1.C=O,0
43,Cc1nc([C@H](CC2CC2)NC(=O)OC(C)(C)C)no1,CC=NC[C@H](CC1CC1=NO)NC(=O)OC(C)(C)C,CC=NC[C@@H](CC1CC1=NO)NC(=O)OC(C)(C)C,CC=NCC(CC1CC1=NO)NC(=O)OC(C)(C)C,C=CC=CC=CC(=O)N1C(=O)C12CC=NC2,CC1=NC1[C@H](CC1CC1=NO)NC(=O)OC(C)(C)C,0
44,CCOC(=O)CCCc1sc(C(CC)c2ccc(CC(C)C)cc2)nc1O,CCC(c1ccc(CC(C)C)cc1)c1nc(O)c(C#CCCO)s1,CCC(C=NC(O)=C(S)C#CCCO)c1ccc(CC(C)C)cc1,CCC(c1ccc(CC(C)C)cc1)c1nc(O)c(CCCCO)s1,C=C(O)N=Cc1cc(CC(C)C)ccc1C(C#CCCOS)CC,CCC(C=NC(O)=C(S)C/C=C/CO)c1ccc(CC(C)C)cc1,0
45,CCC1(C)C(=O)C(C(=O)NCC(=O)OC(C)(C)C)=C(O)c2cc(Cl)ccc21,CCC(C)(C)OC(=O)CNC(=O)C1=C(O)c2cc(Cl)ccc2C(C)(C)C1=O,C=CC(C)(C)OC(=O)CNC(=O)C1COc2cc(Cl)ccc2CCC(C)C1=O,C=CC(C)(C)OC(=O)CNC(=O)C1COc2cc(Cl)ccc2CC(CC)C1=O,C=C=CC=CC=CCOC(=O)CNC(=O)C1(O)C(=O)C(C)(CC)c2ccc(Cl)cc21,C=CC(C)(C)OC(=O)CNC(=O)C1(O)C(=O)C(C)CCc2ccc(Cl)cc21,0
46,CC(C)(C)OC(=O)N1CCC(Oc2ccc3c(c2)NC(=O)CC3)CC1,CC(=O)Nc1cc2ccc1C1CCC(NC(=O)OC(C)(C)C)CC1O2,CCC(=O)Nc1cccc(OC23CCN(CC2)C(=O)OC(C)(C)C3)c1,O=C1CCc2ccc(O)cc2N1.OC1CCNCC1,C=CC(=O)Nc1cccc(OC(P)=CCNC(=O)OC(C)(C)C)c1,CC(C)(C)OC(=O)N1CCC(Oc2ccc3c(c2)NC(=O)CC3)CC1,5
